iter	RMSE
0	0.5294290295
1	0.5108007504
2	0.4934753585
3	0.4770831656
4	0.4632326455
5	0.4491054074
6	0.4355115805
7	0.423443239
8	0.4123935461
9	0.4019054547
10	0.3922287226
11	0.383219661
12	0.3751336811
13	0.3679617542
14	0.3614338227
15	0.3557150561
16	0.3497542691
17	0.344342111
18	0.3394551093
19	0.3346713247
20	0.3304952814
21	0.3267342697
22	0.323162552
23	0.3200014898
24	0.3172937617
25	0.3145523929
26	0.3119214051
27	0.3095181157
28	0.3071801256
29	0.3051629129
30	0.303173894
31	0.3011378141
32	0.2995082519
33	0.2979367744
34	0.2962203738
35	0.294641233
36	0.2932230457
37	0.2920444316
38	0.2907423291
39	0.2892733569
40	0.2882403362
41	0.2872223764
42	0.2861531596
43	0.2851188363
44	0.2841289701
45	0.283057762
46	0.2821725348
47	0.281340205
48	0.2804003224
49	0.279686341
50	0.2789999371
51	0.2782851086
52	0.2775952133
53	0.2769377747
54	0.2762614811
55	0.2754699448
56	0.2746927704
57	0.2741039737
58	0.2735184762
59	0.2730456371
60	0.2724078659
61	0.2718554864
62	0.2713687924
63	0.2709682887
64	0.2704963201
65	0.2695548564
66	0.2689557916
67	0.268416128
68	0.2680283295
69	0.2674824167
70	0.2670228586
71	0.266493462
72	0.2659891279
73	0.2656443381
74	0.2650896137
75	0.2647211923
76	0.2642026072
77	0.2637934442
78	0.2634181886
79	0.2630793095
80	0.2627533046
81	0.2624410601
82	0.2620255121
83	0.2614538272
84	0.2608418067
85	0.2606045363
86	0.2602581091
87	0.259810024
88	0.2595207635
89	0.258985912
90	0.2587362573
91	0.2584207199
92	0.2579025059
93	0.2577114621
94	0.2574585917
95	0.2572351376
96	0.2569733798
97	0.2563913858
98	0.256156071
99	0.2557227825
100	0.2554719887
101	0.255221326
102	0.2548616632
103	0.2543100675
104	0.2538617911
105	0.253536361
106	0.2532111297
107	0.2529369518
108	0.2526758435
109	0.2520588472
110	0.2517414389
111	0.2515161561
112	0.2513316246
113	0.2509309917
114	0.2504314471
115	0.250171285
116	0.2496292103
117	0.2493137904
118	0.2490873594
119	0.2487700204
120	0.2484268775
121	0.2478939288
122	0.2474437434
123	0.247183621
124	0.2470212482
125	0.2465650337
126	0.2463448393
127	0.2460151372
128	0.2458563305
129	0.2456704444
130	0.24544412
131	0.2452420126
132	0.2450125876
133	0.2447985841
134	0.2445118672
135	0.2441760663
136	0.2439355723
137	0.2434825726
138	0.2432740505
139	0.2430197867
140	0.2428756118
141	0.2424127175
142	0.2420855196
143	0.2418423277
144	0.2416623767
145	0.2414535754
146	0.2411350333
147	0.2409624959
148	0.2407522323
149	0.2404699962
150	0.2402356
151	0.2398417664
152	0.2396503676
153	0.2394574638
154	0.23910998
155	0.2388409589
156	0.2384802669
157	0.2382146297
158	0.2379522214
159	0.2375848849
160	0.2372632793
161	0.2368790048
162	0.2366251519
163	0.2364542859
164	0.2363073398
165	0.2361406203
166	0.2359455723
167	0.2357464213
168	0.2355418313
169	0.2353181549
170	0.235049393
171	0.2347371998
172	0.2344561783
173	0.2340640815
174	0.2338921155
175	0.2337193936
176	0.2334103008
177	0.2331217299
178	0.2329150957
179	0.2325664868
180	0.2324112337
181	0.2321240377
182	0.2318762814
183	0.2317647966
184	0.2315819979
185	0.2312525055
186	0.2310870502
187	0.2308341434
188	0.2306277062
189	0.2305104764
190	0.2302603889
191	0.2300074755
192	0.2297843168
193	0.2295625304
194	0.2293230392
195	0.2291259745
196	0.2289272942
197	0.2287685493
198	0.2284695477
199	0.2281683148
200	0.2279727934
201	0.2277460948
202	0.2275159899
203	0.2273976668
204	0.2271389656
205	0.2267771809
206	0.226643623
207	0.2264624822
208	0.2262920852
209	0.2260060131
210	0.2257837902
211	0.2255836662
212	0.2253149404
213	0.2252381045
214	0.2251966275
215	0.2250461762
216	0.2249430556
217	0.2247050254
218	0.2245351914
219	0.2242964719
220	0.2239962583
221	0.2238152248
222	0.2235560463
223	0.2233353544
224	0.2231702325
225	0.2228646975
226	0.2224713865
227	0.2223560606
228	0.2221101219
229	0.2218367661
230	0.2216836723
231	0.2214649231
232	0.2213042306
233	0.2210970942
234	0.2208256254
235	0.2205690785
236	0.2205301494
237	0.2202909232
238	0.2200538788
239	0.2199095118
240	0.2197466601
241	0.2195329561
242	0.2194310589
243	0.2192820693
244	0.2190907039
245	0.2188140798
246	0.2187723937
247	0.218580389
248	0.2183502217
249	0.2182339679
250	0.2180953682
251	0.2178637507
252	0.217687515
253	0.2175697378
254	0.2175407685
255	0.2174077707
256	0.2172955472
257	0.2170678806
258	0.2168990205
259	0.216667716
260	0.2164857882
261	0.2162253393
262	0.2161009835
263	0.2160741933
264	0.2159651083
265	0.2157781296
266	0.2156340404
267	0.2155115667
268	0.2153540862
269	0.2151683069
270	0.2149896685
271	0.214745504
272	0.2146061318
273	0.214454087
274	0.2143165752
275	0.2141063941
276	0.2138768702
277	0.2138238669
278	0.2136089861
279	0.2134129106
280	0.2132277541
281	0.212995862
282	0.2127270703
283	0.2125263699
284	0.2123596314
285	0.2122086368
286	0.2120432565
287	0.2119856676
288	0.2118360871
289	0.2116147793
290	0.2114069967
291	0.2113787046
292	0.2112771343
293	0.2111965466
294	0.2110714638
295	0.2108611516
296	0.2106996269
297	0.210588646
298	0.2104448391
299	0.2103184503
300	0.2101713725
301	0.2099751889
302	0.2099516541
303	0.2097163734
304	0.2095408485
305	0.2093996863
306	0.2093583422
307	0.2092269235
308	0.2091325072
309	0.2090208277
310	0.2088211895
311	0.2086961889
312	0.2086583369
313	0.2084782754
314	0.2083690825
315	0.2081396936
316	0.2079979378
317	0.2078480191
318	0.2076712445
319	0.2075951796
320	0.2074421288
321	0.2073182912
322	0.2072917457
323	0.2071722743
324	0.2070481818
325	0.2068463182
326	0.2066979281
327	0.2065751609
328	0.2064053006
329	0.2062430078
330	0.2061219335
331	0.2060272833
332	0.2059386679
333	0.2057676059
334	0.2057429216
335	0.2055743352
336	0.2054666347
337	0.2052977381
338	0.2052212852
339	0.2050722958
340	0.2049333426
341	0.2048287148
342	0.2046174558
343	0.2044745756
344	0.20432924
345	0.2042065324
346	0.2041828938
347	0.2040778744
348	0.2039335555
349	0.2038562588
350	0.2037491898
351	0.20354042
352	0.2034252881
353	0.2031753602
354	0.2030436698
355	0.202896436
356	0.2027739397
357	0.2026869658
358	0.2025879822
359	0.2024348028
360	0.2023382096
361	0.2022128316
362	0.2021348899
363	0.2021115724
364	0.2020987018
365	0.2020197081
366	0.201854512
367	0.201778598
368	0.2016720309
369	0.2015680928
370	0.2013871243
371	0.2012046007
372	0.2011084685
373	0.201007214
374	0.200884061
375	0.2008012054
376	0.20060811
377	0.2005217774
378	0.2004164274
379	0.2002655145
380	0.2001825683
381	0.2000401375
382	0.2000161698
383	0.1999154125
384	0.1998197326
385	0.1996960522
386	0.1996771493
387	0.1996062371
388	0.1995764493
389	0.1994568676
390	0.1993775573
391	0.1992243981
392	0.1991282571
393	0.1990075517
394	0.1989275272
395	0.1989164152
396	0.1987721914
397	0.1986504641
398	0.198542957
399	0.1983919623
400	0.1981784719
401	0.1980502874
402	0.1979738707
403	0.1978880641
404	0.1978118942
405	0.1977014583
406	0.1975807185
407	0.1974255959
408	0.1972710205
409	0.1971915164
410	0.1970612288
411	0.1969467007
412	0.1969357648
413	0.1968054132
414	0.1967017115
415	0.1965883519
416	0.1964777012
417	0.1962229904
418	0.1961965731
419	0.1961780573
420	0.1961119293
421	0.1959767243
422	0.1958846437
423	0.1957599535
424	0.1956446936
425	0.1955536714
426	0.1954126583
427	0.1953293932
428	0.1951846836
429	0.1950422212
430	0.1949482028
431	0.1949343702
432	0.1947988224
433	0.1946488294
434	0.1945654058
435	0.1945555698
436	0.1944592592
437	0.1944454857
438	0.1942868807
439	0.1941808071
440	0.1941726616
441	0.1941003782
442	0.1940133762
443	0.1938616437
444	0.1937040074
445	0.1936142935
446	0.1935337584
447	0.1934423125
448	0.1933555049
449	0.1933001358
450	0.193135658
451	0.1930526434
452	0.1929117319
453	0.1928356786
454	0.1927222756
455	0.1927105159
456	0.1926169696
457	0.1925259207
458	0.1924023205
459	0.1922910866
460	0.1921984877
461	0.192162405
462	0.1919648512
463	0.1918009945
464	0.1917165254
465	0.1915604715
466	0.1914618766
467	0.1913639599
468	0.1913252559
469	0.1913016883
470	0.1912165946
471	0.1911524343
472	0.1909821795
473	0.1909744792
474	0.1909286864
475	0.1908855308
476	0.190802685
477	0.1907953717
478	0.1907049519
479	0.1906980138
480	0.1906708094
481	0.1904797567
482	0.1903214759
483	0.1902184865
484	0.190116087
485	0.1900052851
486	0.1898291193
487	0.1897013581
488	0.1896359386
489	0.1895328473
490	0.1894217873
491	0.1893575543
492	0.1892881598
493	0.1892805561
494	0.1891617158
495	0.1890574803
496	0.1889684672
497	0.1888971655
498	0.1887780849
499	0.1886925237
500	0.1886195678
501	0.1885087662
502	0.1883334093
503	0.188247246
504	0.1881219035
505	0.1880519763
506	0.1879985494
507	0.187891029
508	0.1877861165
509	0.1877783677
510	0.1877195207
511	0.1876297533
512	0.1875545056
513	0.1874759401
514	0.1874129834
515	0.1873120864
516	0.1872185374
517	0.187089924
518	0.18708328
519	0.1870257935
520	0.1869649656
521	0.1869017243
522	0.1868081878
523	0.1866723645
524	0.1866678579
525	0.1866148506
526	0.1865589235
527	0.186511955
528	0.1864397041
529	0.1863866348
530	0.1862332767
531	0.1861593915
532	0.1860910598
533	0.1859974075
534	0.1859067676
535	0.1858583242
536	0.1857668046
537	0.1857190363
538	0.1857042309
539	0.1855968086
540	0.1855145996
541	0.1853951111
542	0.185388848
543	0.1853142493
544	0.1852232502
545	0.1850572811
546	0.185052927
547	0.1848855615
548	0.1848154127
549	0.1847276841
550	0.1846795203
551	0.1845742316
552	0.1845133655
553	0.1844197499
554	0.1843263083
555	0.1843118538
556	0.1842376015
557	0.184121289
558	0.1840530091
559	0.1839137887
560	0.1838758082
561	0.1837113598
562	0.1836176055
563	0.1835721153
564	0.1835677369
565	0.1834012328
566	0.1833138507
567	0.1831565289
568	0.1830760076
569	0.1829477563
570	0.1828972962
571	0.1827922622
572	0.1827593817
573	0.1826565887
574	0.1825981057
575	0.1825934881
