iter	Passed	Remaining
0	10	10579
1	22	11299
2	33	11211
3	45	11320
4	57	11359
5	67	11255
6	79	11236
7	90	11231
8	101	11155
9	112	11119
10	124	11150
11	134	11110
12	145	11062
13	156	11035
14	167	10990
15	178	10956
16	189	10949
17	200	10926
18	210	10889
19	222	10904
20	232	10856
21	243	10842
22	254	10829
23	266	10824
24	276	10799
25	287	10786
26	298	10754
27	309	10727
28	320	10738
29	331	10714
30	342	10697
31	353	10695
32	364	10677
33	375	10663
34	387	10674
35	397	10650
36	408	10620
37	418	10605
38	429	10582
39	440	10573
40	451	10556
41	461	10530
42	472	10506
43	483	10495
44	493	10472
45	504	10457
46	515	10443
47	525	10420
48	536	10406
49	547	10400
50	557	10376
51	568	10362
52	579	10352
53	589	10327
54	600	10311
55	611	10309
56	621	10289
57	632	10277
58	643	10258
59	653	10235
60	664	10226
61	674	10208
62	685	10192
63	696	10179
64	706	10161
65	717	10156
66	729	10156
67	741	10165
68	754	10180
69	766	10182
70	778	10192
71	790	10184
72	801	10177
73	812	10169
74	825	10184
75	836	10167
76	848	10167
77	859	10156
78	870	10145
79	882	10146
80	906	10285
81	917	10267
82	927	10251
83	938	10236
84	949	10223
85	961	10214
86	973	10213
87	984	10199
88	995	10188
89	1007	10189
90	1018	10176
91	1031	10176
92	1043	10175
93	1055	10169
94	1066	10161
95	1079	10169
96	1092	10169
97	1104	10163
98	1115	10148
99	1127	10144
100	1140	10148
101	1151	10138
102	1163	10130
103	1175	10127
104	1187	10125
105	1200	10120
106	1211	10114
107	1223	10107
108	1235	10102
109	1247	10091
110	1258	10079
111	1270	10071
112	1281	10056
113	1292	10046
114	1304	10037
115	1316	10034
116	1329	10032
117	1341	10026
118	1352	10013
119	1364	10005
120	1375	9991
121	1387	9983
122	1399	9979
123	1410	9966
124	1421	9952
125	1433	9945
126	1444	9929
127	1455	9918
128	1466	9903
129	1478	9896
130	1490	9887
131	1502	9877
132	1513	9866
133	1524	9854
134	1536	9846
135	1549	9845
136	1561	9835
137	1573	9826
138	1585	9819
139	1596	9806
140	1607	9791
141	1619	9784
142	1630	9773
143	1641	9757
144	1652	9745
145	1663	9731
146	1674	9718
147	1686	9707
148	1697	9695
149	1708	9682
150	1719	9668
151	1731	9659
152	1742	9648
153	1753	9635
154	1765	9624
155	1776	9612
156	1787	9599
157	1798	9584
158	1809	9572
159	1821	9560
160	1835	9566
161	1847	9557
162	1859	9546
163	1869	9531
164	1880	9516
165	1891	9503
166	1902	9488
167	1915	9484
168	1927	9479
169	1938	9466
170	1950	9453
171	1961	9443
172	1972	9430
173	1983	9415
174	1994	9402
175	2006	9392
176	2017	9380
177	2029	9370
178	2040	9359
179	2051	9346
180	2062	9334
181	2074	9325
182	2086	9314
183	2097	9300
184	2108	9289
185	2120	9278
186	2131	9266
187	2142	9254
188	2153	9241
189	2163	9224
190	2174	9210
191	2185	9199
192	2197	9188
193	2208	9175
194	2219	9162
195	2229	9147
196	2241	9134
197	2252	9122
198	2262	9108
199	2274	9096
200	2285	9084
201	2295	9068
202	2307	9057
203	2318	9047
204	2330	9037
205	2341	9024
206	2352	9012
207	2363	9000
208	2374	8985
209	2385	8975
210	2396	8962
211	2407	8949
212	2420	8943
213	2431	8931
214	2442	8916
215	2452	8903
216	2463	8890
217	2474	8874
218	2484	8860
219	2495	8848
220	2506	8834
221	2517	8821
222	2530	8815
223	2540	8800
224	2550	8786
225	2562	8775
226	2573	8762
227	2583	8748
228	2594	8736
229	2605	8723
230	2616	8710
231	2627	8699
232	2638	8684
233	2649	8672
234	2660	8661
235	2671	8648
236	2681	8634
237	2693	8622
238	2703	8608
239	2715	8599
240	2726	8586
241	2737	8573
242	2747	8560
243	2759	8548
244	2769	8535
245	2780	8522
246	2791	8509
247	2801	8495
248	2812	8483
249	2823	8469
250	2833	8455
251	2844	8442
252	2854	8428
253	2865	8415
254	2875	8401
255	2885	8386
256	2896	8373
257	2907	8361
258	2917	8347
259	2928	8335
260	2939	8323
261	2950	8309
262	2960	8296
263	2971	8283
264	2981	8269
